query,KEGG_Pathway,KEGG_Reaction,product_name
TcmI_family_type_II_polyketide_cyclase,,,
cytochrome_P450,,,
TcmI_family_type_II_polyketide_cyclase,01057,R09340,UWM6
beta-ketoacyl-[acyl-carrier-protein]_synthase_family_protein,"00253, 01056","R06635, R06637, R06641, R06643, R06644, R06645, R09258, R09259, R10960, R11516","3,5,7,9,11,13,15-Heptaoxo-hexadecanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15-Heptaoxo-octadecanoyl-[acp], CO2, CoA, 18-Carbamoyl-3,5,7,9,11,13,15,17-octaoxooctadecanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15,17,19-Nonaoxo-eicosanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15,17,19-Nonaoxo-henicosanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15,17,19-Nonaoxo-docosanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15-Heptaoxo-hexadecanoyl-[acp], CO2, CoA, 7,9,12-Octaketide intermediate 1, Tetracenomycin F2, CoA, CO2, H2O, 18-Carbamoyl-3,5,7,9,11,13,15,17-octaoxooctadecanoyl-[acp], CO2, CoA"
ketosynthase_chain-length_factor,"00253, 01056","R06635, R06637, R06641, R06643, R06644, R06645, R09258, R09259, R10960, R11516","3,5,7,9,11,13,15-Heptaoxo-hexadecanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15-Heptaoxo-octadecanoyl-[acp], CO2, CoA, 18-Carbamoyl-3,5,7,9,11,13,15,17-octaoxooctadecanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15,17,19-Nonaoxo-eicosanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15,17,19-Nonaoxo-henicosanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15,17,19-Nonaoxo-docosanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15-Heptaoxo-hexadecanoyl-[acp], CO2, CoA, 7,9,12-Octaketide intermediate 1, Tetracenomycin F2, CoA, CO2, H2O, 18-Carbamoyl-3,5,7,9,11,13,15,17-octaoxooctadecanoyl-[acp], CO2, CoA"
acyl_carrier_protein,"00253, 01056","R06635, R06637, R06641, R06643, R06644, R06645, R09258, R09259, R10960, R11516","3,5,7,9,11,13,15-Heptaoxo-hexadecanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15-Heptaoxo-octadecanoyl-[acp], CO2, CoA, 18-Carbamoyl-3,5,7,9,11,13,15,17-octaoxooctadecanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15,17,19-Nonaoxo-eicosanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15,17,19-Nonaoxo-henicosanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15,17,19-Nonaoxo-docosanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15-Heptaoxo-hexadecanoyl-[acp], CO2, CoA, 7,9,12-Octaketide intermediate 1, Tetracenomycin F2, CoA, CO2, H2O, 18-Carbamoyl-3,5,7,9,11,13,15,17-octaoxooctadecanoyl-[acp], CO2, CoA"
3-oxoacyl-ACP_reductase_FabG,"00253, 01056","R06642, R09262, R09263, R09264","C-9 Reduced nonaketamide, NADP+, 7,9,12-Octaketide intermediate 2, NADP+, 7,9,12-Decaketide intermediate 2, NADP+, 7,9,12-Decaketide intermediate 5, NADP+"
aromatase/cyclase,01056,R09265,"7,9,12-Octaketide intermediate 3, H2O"
alpha/beta_fold_hydrolase,,,
