query,KEGG_Pathway,KEGG_Reaction,product_name
oxygenase,01057,"R09341, R09343","Rabelomycin, Dehydrorabelomycin"
cyclase,01057,R09340,UWM6
keto-acyl_synthase_alpha,"00253, 01056","R06635, R06637, R06641, R06643, R06644, R06645, R09258, R09259, R10960, R11516","3,5,7,9,11,13,15-Heptaoxo-hexadecanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15-Heptaoxo-octadecanoyl-[acp], CO2, CoA, 18-Carbamoyl-3,5,7,9,11,13,15,17-octaoxooctadecanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15,17,19-Nonaoxo-eicosanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15,17,19-Nonaoxo-henicosanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15,17,19-Nonaoxo-docosanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15-Heptaoxo-hexadecanoyl-[acp], CO2, CoA, 7,9,12-Octaketide intermediate 1, Tetracenomycin F2, CoA, CO2, H2O, 18-Carbamoyl-3,5,7,9,11,13,15,17-octaoxooctadecanoyl-[acp], CO2, CoA"
beta-ketoacyl_synthase,"00253, 01056","R06635, R06637, R06641, R06643, R06644, R06645, R09258, R09259, R10960, R11516","3,5,7,9,11,13,15-Heptaoxo-hexadecanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15-Heptaoxo-octadecanoyl-[acp], CO2, CoA, 18-Carbamoyl-3,5,7,9,11,13,15,17-octaoxooctadecanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15,17,19-Nonaoxo-eicosanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15,17,19-Nonaoxo-henicosanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15,17,19-Nonaoxo-docosanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15-Heptaoxo-hexadecanoyl-[acp], CO2, CoA, 7,9,12-Octaketide intermediate 1, Tetracenomycin F2, CoA, CO2, H2O, 18-Carbamoyl-3,5,7,9,11,13,15,17-octaoxooctadecanoyl-[acp], CO2, CoA"
actinorhodin_polyketide_synthase,"00253, 01056","R06635, R06637, R06641, R06643, R06644, R06645, R09258, R09259, R10960, R11516","3,5,7,9,11,13,15-Heptaoxo-hexadecanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15-Heptaoxo-octadecanoyl-[acp], CO2, CoA, 18-Carbamoyl-3,5,7,9,11,13,15,17-octaoxooctadecanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15,17,19-Nonaoxo-eicosanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15,17,19-Nonaoxo-henicosanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15,17,19-Nonaoxo-docosanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15-Heptaoxo-hexadecanoyl-[acp], CO2, CoA, 7,9,12-Octaketide intermediate 1, Tetracenomycin F2, CoA, CO2, H2O, 18-Carbamoyl-3,5,7,9,11,13,15,17-octaoxooctadecanoyl-[acp], CO2, CoA"
ketoacyl_reductase,"00253, 01056","R06642, R09262, R09263, R09264","C-9 Reduced nonaketamide, NADP+, 7,9,12-Octaketide intermediate 2, NADP+, 7,9,12-Decaketide intermediate 2, NADP+, 7,9,12-Decaketide intermediate 5, NADP+"
cyclase,01056,R09265,"7,9,12-Octaketide intermediate 3, H2O"
oxidoreductase,01057,"R06656, R09342, R09346","Rabelomycin, 2,3-Dehydro-UWM6, H2O, 11-Deoxylandomycinone"
hypothetical_protein,,,
