query,KEGG_Pathway,KEGG_Reaction,product_name
Polyketide_synthesis_cyclase,,,
putative_actinorhodin_polyketide_synthase_acyl_carrier_protein_(ACP)_(ActI_ORF3),,,
cyclase/dehydrase,,,
Beta-ketoacyl_synthase,00780,"R04355, R04726, R04952, R04957, R04960, R04963, R04968, R07762, R10115, R10119","Acetoacetyl-[acp], CO2, Acyl-carrier protein, 3-Oxotetradecanoyl-[acp], CO2, Acyl-carrier protein, 3-Oxohexanoyl-[acp], CO2, Acyl-carrier protein, 3-Oxooctanoyl-[acp], CO2, Acyl-carrier protein, 3-Oxodecanoyl-[acp], CO2, Acyl-carrier protein, 3-Oxododecanoyl-[acp], CO2, Acyl-carrier protein, 3-Oxohexadecanoyl-[acp], CO2, Acyl-carrier protein, 3-Oxostearoyl-[acp], Acyl-carrier protein, CO2, 3-Ketoglutaryl-[acp] methyl ester, CO2, Acyl-carrier protein, 3-Ketopimeloyl-[acp] methyl ester, CO2, Acyl-carrier protein"
short-chain_dehydrogenase/reductase_SDR,"01040, 00333, 00780, 01200, 00030","R01520, R01521, R04533, R04534, R04536, R04543, R04566, R04953, R04964, R07759, R07763, R10116, R10120, R11671","D-Glucono-1,5-lactone, NADH, H+, D-Glucono-1,5-lactone, NADPH, H+, Acetoacetyl-[acp], NADPH, H+, 3-Oxodecanoyl-[acp], NADPH, 3-Oxooctanoyl-[acp], NADPH, H+, 3-Oxohexadecanoyl-[acp], NADPH, H+, 3-Oxotetradecanoyl-[acp], NADPH, H+, 3-Oxohexanoyl-[acp], NADPH, H+, 3-Oxododecanoyl-[acp], NADPH, H+, 3-Hydroxyoctadecanoyl-CoA, NADP+, (3R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein], NADP+, 3-Hydroxyglutaryl-[acp] methyl ester, NADP+, 3-Hydroxypimeloyl-[acp] methyl ester, NADP+, Dodecanoyl-[acyl-carrier protein]"
