query,KEGG_Pathway,KEGG_Reaction,product_name
alpha/beta_hydrolase,,,
cyclase,01056,R09265,"7,9,12-Octaketide intermediate 3, H2O"
ketoacyl_reductase,"00253, 01056","R06642, R09262, R09263, R09264","C-9 Reduced nonaketamide, NADP+, 7,9,12-Octaketide intermediate 2, NADP+, 7,9,12-Decaketide intermediate 2, NADP+, 7,9,12-Decaketide intermediate 5, NADP+"
actinorhodin_polyketide_synthase,"00253, 01056","R06635, R06637, R06641, R06643, R06644, R06645, R09258, R09259, R10960, R11516","3,5,7,9,11,13,15-Heptaoxo-hexadecanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15-Heptaoxo-octadecanoyl-[acp], CO2, CoA, 18-Carbamoyl-3,5,7,9,11,13,15,17-octaoxooctadecanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15,17,19-Nonaoxo-eicosanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15,17,19-Nonaoxo-henicosanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15,17,19-Nonaoxo-docosanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15-Heptaoxo-hexadecanoyl-[acp], CO2, CoA, 7,9,12-Octaketide intermediate 1, Tetracenomycin F2, CoA, CO2, H2O, 18-Carbamoyl-3,5,7,9,11,13,15,17-octaoxooctadecanoyl-[acp], CO2, CoA"
ketosynthase_chain-length_factor,"00253, 01056","R06635, R06637, R06641, R06643, R06644, R06645, R09258, R09259, R10960, R11516","3,5,7,9,11,13,15-Heptaoxo-hexadecanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15-Heptaoxo-octadecanoyl-[acp], CO2, CoA, 18-Carbamoyl-3,5,7,9,11,13,15,17-octaoxooctadecanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15,17,19-Nonaoxo-eicosanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15,17,19-Nonaoxo-henicosanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15,17,19-Nonaoxo-docosanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15-Heptaoxo-hexadecanoyl-[acp], CO2, CoA, 7,9,12-Octaketide intermediate 1, Tetracenomycin F2, CoA, CO2, H2O, 18-Carbamoyl-3,5,7,9,11,13,15,17-octaoxooctadecanoyl-[acp], CO2, CoA"
beta-ACP_synthase,"00253, 01056","R06635, R06637, R06641, R06643, R06644, R06645, R09258, R09259, R10960, R11516","3,5,7,9,11,13,15-Heptaoxo-hexadecanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15-Heptaoxo-octadecanoyl-[acp], CO2, CoA, 18-Carbamoyl-3,5,7,9,11,13,15,17-octaoxooctadecanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15,17,19-Nonaoxo-eicosanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15,17,19-Nonaoxo-henicosanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15,17,19-Nonaoxo-docosanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15-Heptaoxo-hexadecanoyl-[acp], CO2, CoA, 7,9,12-Octaketide intermediate 1, Tetracenomycin F2, CoA, CO2, H2O, 18-Carbamoyl-3,5,7,9,11,13,15,17-octaoxooctadecanoyl-[acp], CO2, CoA"
MBL_fold_metallo-hydrolase,01057,R09305,"Octaketide bicyclic intermediate, H2O"
hypothetical_protein,"03320, 02024, 04920, 04146, 04216, 04714",R01280,"AMP, Palmitoyl-CoA, Diphosphate"
